Name,Description,BranchType,DeliveryStatus,Circle,District,Division,Region,Block,State,Country,Pincode
Pillur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605103
Poyyapakkam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605103
Serndanur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605103
Tirupachanur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605103
Bommayarpalayam,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondichery,Pondicherry,India,605104
Kottakuppam,,Sub Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605104
Kallipattu,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605105
Maducore,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605105
Mettupalayam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605105
Mokshakulam,,Sub Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605105
P.Villiyanur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605105
Poovarasankuppam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605105
Rampakkam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605105
Venkatadri  Agaram,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605105
Chellanchery,,Branch Post Office,Delivery,Tamilnadu,Cuddalore,Pondicherry,Chennai Region,Cuddalore,Tamil Nadu,India,605106
Embalam,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605106
Karayamputhur,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605106
Kariyamanikam,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605106
Kijour,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605106
Mandagapet,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Nettapakkam Commune Panchayat,Tamil Nadu,India,605106
Nallathur,,Branch Post Office,Delivery,Tamilnadu,Cuddalore,Pondicherry,Chennai Region,Cuddalore,Tamil Nadu,India,605106
Nettapakkam,,Sub Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605106
Pakkam,,Branch Post Office,Delivery,Tamilnadu,Cuddalore,Pondicherry,Chennai Region,cuddalore,Tamil Nadu,India,605106
Viranam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605106
Kumulam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605107
Lingareddpalayam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605107
Madugadipet,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605107
Palayam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605107
Pallineliyanur,,Sub Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605107
Puranasingupalayam,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605107
Thirubuvanai,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605107
V.Mathur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605107
Arpisampalayam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605108
Gengarampalayam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605108
Kallapattu,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605108
Kumarakuppam,,Branch Post Office,Non-Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605108
Naraiyur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605108
Salayampalayam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605108
V.Budur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605108
Valavanur,,Sub Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605108
Katrambakkam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Tindivanam,Tamil Nadu,India,605109
Olundiapet,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Tindivanam,Tamil Nadu,India,605109
Pulichapllam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Vanur,Tamil Nadu,India,605109
Semangalam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Tindivanam,Tamil Nadu,India,605109
V.Parangani,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Vanur,Tamil Nadu,India,605109
Vanur,,Sub Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Vanur,Tamil Nadu,India,605109
Arumbarthapuram,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Villianur Commune Panchayat,Pondicherry,India,605110
Kilinjikuppam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Vanur,Tamil Nadu,India,605110
Korkadu,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605110
Mangalam,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605110
Odiampet,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Villianur Commune Panchayat,Pondicherry,India,605110
Sulthanpet,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Villianur Commune Panchayat,Pondicherry,India,605110
Villiyanur,,Sub Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Villianur Commune Panchayat,Pondicherry,India,605110
Hemerjickx Cente,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Vanur,Tamil Nadu,India,605111
Irumbai,,Branch Post Office,Non-Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605111
Poothurai,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605111
Rayapudupakkam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605111
Sedarapet,,Branch Post Office,Non-Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605111
