,Name,Description,BranchType,DeliveryStatus,Circle,District,Division,Region,Block,State,Country,Pincode
50,Muhurirchar,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Fekamari,Assam,India,783128
51,Nilokhia,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Fekamari,Assam,India,783128
52,Piazbari,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Fekamari,Assam,India,783128
53,Sukchar (Dhubri),,Sub Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Fekamari,Assam,India,783128
54,Ambari Bazar,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Lakhipur,Assam,India,783129
55,Aolatoli,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Lakhipur,Assam,India,783129
56,Baguan,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Lakhipur,Assam,India,783129
57,Balarbhita,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Lakhipur,Assam,India,783129
58,Bashbari,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Lakhipur,Assam,India,783129
59,Beserkona,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Lakhipur,Assam,India,783129
60,Chunari,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Lakhipur,Assam,India,783129
61,Dhamer Reserve,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Lakhipur,Assam,India,783129
62,Fetangapara,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Lakhipur,Assam,India,783129
63,Hashdoba,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Lakhipur,Assam,India,783129
64,Joybhum,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Lakhipur,Assam,India,783129
65,Joypur Bazar,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Lakhipur,Assam,India,783129
66,Joyramkuchi,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Lakhipur,Assam,India,783129
67,Lakhipur (Goalpara),,Sub Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Lakhipur,Assam,India,783129
68,Meserbhita,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Lakhipur,Assam,India,783129
69,Nidanpur,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Lakhipur,Assam,India,783129
70,Panisali,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Lakhipur,Assam,India,783129
71,Rajmita Pantai,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Lakhipur,Assam,India,783129
72,Rowkhowa,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Lakhipur,Assam,India,783129
73,Takimari,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Lakhipur,Assam,India,783129
74,Athiabari,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Rangjuli,Assam,India,783130
75,Dhanubhanga,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Rangjuli,Assam,India,783130
76,Kahibari,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Rangjuli,Assam,India,783130
77,Patpara,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Rangjuli,Assam,India,783130
78,Rangjuli,,Sub Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Rangjuli,Assam,India,783130
79,Simlitola,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Rangjuli,Assam,India,783130
