Name,Description,BranchType,DeliveryStatus,Circle,District,Division,Region,Block,State,Country,Pincode
Regional Research Laboratory,,Sub Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751013
B J B Nagar,,Sub Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751014
Bhubaneswar Court,,Sub Post Office,Non-Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751014
I R C Village,,Sub Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751015
Chandra Sekhar Pur,,Sub Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751016
Mancheswar,,Branch Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751017
Mancheswar R S,,Branch Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751017
Mancheswar Railway Colony,,Sub Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751017
Osap Campus,,Sub Post Office,Non-Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751017
Badagarh Brit Colony,,Sub Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751018
Aiginia,,Branch Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Balianta,Odisha,India,751019
Dumduma Housing Board Colony,,Sub Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751019
Jadupur,,Branch Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Lingaraj,Odisha,India,751019
Kalinga Vihar,,Branch Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751019
Patrapada,,Branch Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751019
Sarakantara,,Branch Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751019
Aerodrome Area,,Sub Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751020
Airport (Khorda),,Sub Post Office,Non-Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751020
Pokhariput,,Sub Post Office,Non-Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751020
Sailashree Vihar,,Sub Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751021
Acharya Vihar,,Sub Post Office,Non-Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751022
Bhoinagar,,Sub Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751022
Madhusudan Nagar (Khorda),,Sub Post Office,Non-Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751022
S.E Rly.Proj. Complex,,Sub Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751023
K I I T,,Sub Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751024
Kalarahanga,,Branch Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751024
Patia Gds,,Branch Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751024
G.G.P.Colony,,Sub Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751025
Khandagiri,,Sub Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751030
Balisahi,,Sub Post Office,Non-Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752001
Baselisahi,,Sub Post Office,Non-Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752001
Jagannath Ballav,,Sub Post Office,Non-Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752001
Kalikadevisahi,,Sub Post Office,Non-Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752001
Kundhebentasahi,,Sub Post Office,Non-Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752001
Labanikhiachhak,,Sub Post Office,Non-Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752001
Manikarnika,,Sub Post Office,Non-Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752001
Puri,,Head Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752001
Puri Seabeach,,Sub Post Office,Non-Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752001
S C S College,,Sub Post Office,Non-Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752001
Singhadwar,,Sub Post Office,Non-Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752001
Swargadwar,,Sub Post Office,Non-Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752001
B S Nagar,,Sub Post Office,Non-Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752002
Badagaon,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752002
Baliguali,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752002
Baniasahi,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752002
Bantaligram,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752002
Biraharekrushnapur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752002
Chhaitana,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752002
D. A. G.,,Sub Post Office,Non-Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752002
Garhbhingura,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752002
Gopinathpur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752002
Gorual,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752002
Khadipada,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752002
Mahapur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752002
Mahodadhi,,Branch Post Office,Non-Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752002
Markandeswar Sahi,,Branch Post Office,Non-Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752002
Police Line (Puri),,Sub Post Office,Non-Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752002
Puri Station Road,,Sub Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752002
Sasana Damodarpur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752002
Talajanga,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752002
Srivihar,,Sub Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752003
Ambapada,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Brahmagiri,Odisha,India,752011
Arakhakuda,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Brahmagiri,Odisha,India,752011
Bentapur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Brahmagiri,Odisha,India,752011
Berhampur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Brahmagiri,Odisha,India,752011
Bhagabanpur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Brahmagiri,Odisha,India,752011
Bhandarikuda,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Brahmagiri,Odisha,India,752011
Bhubanapur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Brahmagiri,Odisha,India,752011
Brahmagiri,,Sub Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Brahmagiri,Odisha,India,752011
Brahmania,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Brahmagiri,Odisha,India,752011
Chapamanika,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Brahmagiri,Odisha,India,752011
Chhatabar,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Brahmagiri,Odisha,India,752011
Chilikanuapada,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Krushnaprasad,Odisha,India,752011
Dimirisena,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Brahmagiri,Odisha,India,752011
Garhkokala,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Brahmagiri,Odisha,India,752011
Garhrodanga,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Brahmagiri,Odisha,India,752011
Gopinathpur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Brahmagiri,Odisha,India,752011
Kandagoda,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Brahmagiri,Odisha,India,752011
Khajuria,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Brahmagiri,Odisha,India,752011
Kusubenti,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Brahmagiri,Odisha,India,752011
Manapada,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Brahmagiri,Odisha,India,752011
Nuagaonbadabhuin,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Brahmagiri,Odisha,India,752011
