SKUAST(CHATHA),,Sub Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,jammu,Jammu & Kashmir,India,180009
Gangyal,,Sub Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180010
Kalu Chak,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180010
Chowadi,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180011
Greater Kailash,,Sub Post Office,Non-Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180011
Sainik Colony,,Sub Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180011
Sunjwan,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180011
Meghdoot Bhawan,,Sub Post Office,Non-Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,jammu,Jammu & Kashmir,India,180012
New Fruit Market,,Sub Post Office,Non-Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180012
Railway Station,,Sub Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180012
Roopnagar Jammu Tawi,,Sub Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180013
Chani Himat,,Sub Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180015
General Bus Stand (Jammu),,Sub Post Office,Non-Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180016
Krishna Nagar (Jammu),,Sub Post Office,Non-Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180016
Vinaik Bazar,,Sub Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180016
Aitham,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180017
Bain Bajalta,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,NA,Jammu & Kashmir,India,180017
Kanachirgal,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180017
Majeen,,Sub Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,NA,Jammu & Kashmir,India,180017
Surinsar,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180017
Udheywala,,Sub Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180018
Sidhra Housing Colony,,Sub Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,NA,Jammu & Kashmir,India,180019
Trikuta Nagar,,Sub Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180020
Bhour Camp,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181101
Gadigarh,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181101
Khour Devian,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,NA,Jammu & Kashmir,India,181101
Kirpind,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181101
Langotian,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181101
Miran Sahib,,Sub Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Ranbirsinghpora,Jammu & Kashmir,India,181101
Rattisn,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181101
Simble Camp,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,NA,Jammu & Kashmir,India,181101
Agra Chak,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,NA,Jammu & Kashmir,India,181102
Badyal Brahmna,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181102
Chakrohi,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Ranbirsinghpora,Jammu & Kashmir,India,181102
Chandu Chak,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,NA,Jammu & Kashmir,India,181102
Chohala,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181102
Faloura,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Ranbirsinghpora,Jammu & Kashmir,India,181102
Gharana,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,NA,Jammu & Kashmir,India,181102
Jassore,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181102
Kotlishah Daula,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181102
R.S.Pura,,Sub Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,NA,Jammu & Kashmir,India,181102
R.S.Pura Adda,,Sub Post Office,Non-Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181102
Rangpur Malania,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181102
Satrayan,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Ranbirsinghpora,Jammu & Kashmir,India,181102
Shamka,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181102
Suchetgarh,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181102
Dablehar,,Sub Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181111
Goondla,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181111
Magowali,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181111
Rathana,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181111
Salehar,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181111
A.G.Office,,Branch Post Office,Non-Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,NA,Jammu & Kashmir,India,181121
Paloura,,Sub Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181121
