Sagarpur,,Branch Post Office,Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Ballabgarh,Haryana,India,121004
Seekri,,Branch Post Office,Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Ballabgarh,Haryana,India,121004
Faridabad Sector 22,,Sub Post Office,Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121005
Jawahar Colony Faridabad,,Sub Post Office,Non-Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121005
Faridabad Sector 7,,Sub Post Office,Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Ballabgarh,Haryana,India,121006
Faridabad Sector 8,,Sub Post Office,Non-Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Ballabgarh,Haryana,India,121006
Faridabad Sector 9,,Sub Post Office,Non-Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Ballabgarh,Haryana,India,121006
G.T. Road Faridabad,,Sub Post Office,Non-Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Ballabgarh,Haryana,India,121006
Escortsnagar Faridabad,,Sub Post Office,Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121007
Faridabad Sector 12,,Sub Post Office,Non-Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121007
Faridabad Sector 15,,Sub Post Office,Non-Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121007
Faridabad Sector 29,,Sub Post Office,Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121008
Surajkund Faridabad,,Sub Post Office,Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121009
Nhpc Colony Faridabad,,Sub Post Office,Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121010
Sector-21D ,,Sub Post Office,Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121012
Sec-91,,Sub Post Office,Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121013
Alipur,,Branch Post Office,Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Ballabgarh,Haryana,India,121101
Badarpur Syed,,Branch Post Office,Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Ballabgarh,Haryana,India,121101
Bhainsrawali,,Branch Post Office,Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Ballabgarh,Haryana,India,121101
Bhuvapur,,Branch Post Office,Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Ballabgarh,Haryana,India,121101
Chandpur,,Branch Post Office,Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Ballabgarh,Haryana,India,121101
Faridpur,,Branch Post Office,Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Ballabgarh,Haryana,India,121101
Kurali,,Branch Post Office,Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Ballabgarh,Haryana,India,121101
